,startx,endx,starty,endy,naive,vectorized,multiprocessing
241,45,111,120,55,1.4625,1.4625,1.4625
242,51,111,123,55,1.31181253,1.31181253,1.31181253
243,46,108,118,54,1.402726603,1.402726603,1.402726603
244,45,108,118,54,1.428813559,1.428813559,1.428813559
245,43,105,119,53,1.443619308,1.443619308,1.443619308
246,40,109,114,54,1.599342105,1.599342105,1.599342105
247,30,106,111,53,2.005405405,2.005405405,2.005405405
248,40,108,116,54,1.582758621,1.582758621,1.582758621
249,43,106,117,53,1.459053866,1.459053866,1.459053866
250,36,107,112,53,1.722718254,1.722718254,1.722718254
251,41,106,115,53,1.523117709,1.523117709,1.523117709
252,41,106,114,53,1.525139067,1.525139067,1.525139067
253,35,107,111,54,1.771814672,1.771814672,1.771814672
254,36,112,113,56,1.803343166,1.803343166,1.803343166
255,37,109,113,54,1.711911026,1.711911026,1.711911026
256,40,110,114,55,1.61622807,1.61622807,1.61622807
257,42,111,112,56,1.571428571,1.571428571,1.571428571
258,39,106,116,53,1.587422635,1.587422635,1.587422635
259,39,110,116,55,1.647325376,1.647325376,1.647325376
260,40,113,116,56,1.65387931,1.65387931,1.65387931
261,38,114,113,57,1.752212389,1.752212389,1.752212389
262,34,109,112,54,1.844012605,1.844012605,1.844012605
263,39,111,114,55,1.664304993,1.664304993,1.664304993
264,46,113,118,57,1.469786293,1.469786293,1.469786293
265,41,106,116,53,1.521131203,1.521131203,1.521131203
266,41,108,116,54,1.549831791,1.549831791,1.549831791
267,43,108,119,54,1.48270471,1.48270471,1.48270471
268,41,110,117,55,1.57650615,1.57650615,1.57650615
269,41,105,120,52,1.497154472,1.497154472,1.497154472
270,38,108,113,54,1.659990685,1.659990685,1.659990685
271,38,119,110,59,1.833971292,1.833971292,1.833971292
272,43,119,115,59,1.640242669,1.640242669,1.640242669
273,42,118,115,59,1.661283644,1.661283644,1.661283644
274,41,120,116,60,1.722035324,1.722035324,1.722035324
275,42,114,112,57,1.611607143,1.611607143,1.611607143
276,38,120,111,60,1.849217639,1.849217639,1.849217639
277,42,119,116,59,1.670977011,1.670977011,1.670977011
278,46,122,117,61,1.586770717,1.586770717,1.586770717
279,47,119,119,59,1.513856606,1.513856606,1.513856606
280,57,127,104,60,1.402496626,1.402496626,1.402496626
281,56,113,107,51,1.247246328,1.247246328,1.247246328
282,48,126,102,57,1.591911765,1.591911765,1.591911765
283,55,128,121,57,1.399173554,1.399173554,1.399173554
284,45,123,123,55,1.590243902,1.590243902,1.590243902
285,44,127,102,46,1.668672014,1.668672014,1.668672014
286,53,113,118,42,1.244003838,1.244003838,1.244003838
287,60,128,101,49,1.309240924,1.309240924,1.309240924
288,43,100,111,41,1.347475382,1.347475382,1.347475382
289,59,106,100,50,1.148305085,1.148305085,1.148305085
290,58,111,106,48,1.183311646,1.183311646,1.183311646
291,54,103,104,60,1.242165242,1.242165242,1.242165242
292,59,112,111,42,1.138341732,1.138341732,1.138341732
293,51,126,111,42,1.424483307,1.424483307,1.424483307
294,52,130,112,48,1.464285714,1.464285714,1.464285714
295,57,106,110,60,1.202551834,1.202551834,1.202551834
296,56,110,129,56,1.199197121,1.199197121,1.199197121
297,52,102,107,52,1.223759885,1.223759885,1.223759885
298,53,119,116,46,1.320917372,1.320917372,1.320917372
299,58,122,104,40,1.24403183,1.24403183,1.24403183
300,60,108,122,51,1.109016393,1.109016393,1.109016393
301,56,103,110,58,1.183279221,1.183279221,1.183279221
302,43,119,114,43,1.572317421,1.572317421,1.572317421
303,46,126,119,49,1.57544757,1.57544757,1.57544757
304,55,130,129,42,1.344608879,1.344608879,1.344608879
305,53,125,121,46,1.369327928,1.369327928,1.369327928
306,59,124,128,43,1.218816208,1.218816208,1.218816208
307,56,122,126,47,1.275793651,1.275793651,1.275793651
308,53,112,107,55,1.313613119,1.313613119,1.313613119
309,41,104,122,59,1.510095962,1.510095962,1.510095962
310,60,122,114,43,1.205263158,1.205263158,1.205263158
311,44,118,112,41,1.523944805,1.523944805,1.523944805
312,49,106,100,42,1.291632653,1.291632653,1.291632653
313,54,116,101,50,1.321598827,1.321598827,1.321598827
314,47,105,109,46,1.328030451,1.328030451,1.328030451
315,58,127,101,51,1.347302834,1.347302834,1.347302834
316,49,111,103,58,1.414206459,1.414206459,1.414206459
317,44,127,127,53,1.651843236,1.651843236,1.651843236
318,54,115,112,53,1.301421958,1.301421958,1.301421958
319,53,110,125,54,1.253735849,1.253735849,1.253735849
